Wall time,Step,Value
1564808901.2449656,650,23.600000381469727
1564808905.704701,660,26.299999237060547
1564808910.4088087,670,24.100000381469727
1564808914.153602,680,23.0
1564808918.5153394,690,26.100000381469727
1564808923.586377,700,27.899999618530273
1564808927.9668684,710,29.700000762939453
1564808932.249657,720,27.5
1564808938.1350913,730,29.700000762939453
1564808942.9827304,740,27.399999618530273
1564808947.9214385,750,27.399999618530273
1564808952.9515784,760,26.600000381469727
1564808958.233904,770,27.799999237060547
1564808963.5552087,780,27.399999618530273
1564808969.1203916,790,27.299999237060547
1564808973.4684463,800,23.899999618530273
1564808979.0432289,810,29.200000762939453
1564808985.1658862,820,35.29999923706055
1564808991.1009698,830,31.899999618530273
1564808996.9747055,840,31.0
1564809003.7521853,850,37.70000076293945
1564809009.399749,860,34.400001525878906
1564809015.5546231,870,36.900001525878906
1564809022.3151705,880,32.400001525878906
1564809029.758917,890,39.099998474121094
1564809036.549226,900,34.400001525878906
1564809044.2853878,910,37.29999923706055
1564809050.4283445,920,30.600000381469727
1564809056.9413853,930,32.5
1564809064.4149146,940,27.799999237060547
1564809072.06804,950,29.799999237060547
1564809078.5470197,960,26.799999237060547
1564809084.9758203,970,32.900001525878906
1564809092.9773903,980,40.099998474121094
1564809099.452761,990,27.200000762939453
1564809106.532368,1000,29.799999237060547
1564809114.8219364,1010,37.5
1564809122.4933324,1020,38.29999923706055
1564809129.697907,1030,31.600000381469727
1564809138.353568,1040,42.29999923706055
1564809145.1955564,1050,26.299999237060547
1564809154.8635902,1060,52.400001525878906
1564809163.9143763,1070,37.0
1564809171.3775284,1080,28.5
1564809179.0277455,1090,33.900001525878906
1564809188.3428319,1100,36.5
1564809196.8697662,1110,37.900001525878906
1564809204.8044512,1120,31.600000381469727
1564809214.4839115,1130,43.70000076293945
1564809224.0106223,1140,37.20000076293945
1564809231.9751503,1150,35.400001525878906
1564809242.6540124,1160,52.79999923706055
1564809252.4838016,1170,41.599998474121094
1564809262.5588298,1180,38.099998474121094
1564809271.5440736,1190,40.20000076293945
1564809281.2821915,1200,41.20000076293945
1564809292.081877,1210,46.400001525878906
1564809300.6535392,1220,32.599998474121094
1564809311.3858767,1230,52.70000076293945
1564809321.5650373,1240,48.79999923706055
1564809333.3945987,1250,50.900001525878906
1564809344.328141,1260,52.5
1564809354.8854108,1270,39.099998474121094
1564809366.3502405,1280,68.19999694824219
1564809377.3049634,1290,48.5
1564809390.465408,1300,69.5999984741211
1564809401.8260636,1310,47.20000076293945
1564809412.820663,1320,47.79999923706055
1564809424.9114208,1330,57.099998474121094
1564809436.2939458,1340,48.599998474121094
1564809445.7976277,1350,38.900001525878906
1564809458.4249437,1360,71.9000015258789
1564809471.8128057,1370,63.099998474121094
1564809484.6847231,1380,53.5
1564809498.8852632,1390,75.30000305175781
1564809512.1639369,1400,59.099998474121094
1564809526.2652729,1410,59.29999923706055
1564809538.1743906,1420,51.20000076293945
1564809550.7340312,1430,51.599998474121094
1564809564.6230595,1440,40.900001525878906
1564809578.3757367,1450,53.20000076293945
1564809592.846042,1460,71.80000305175781
1564809605.8411627,1470,66.19999694824219
1564809620.3016336,1480,62.400001525878906
1564809634.2164063,1490,48.400001525878906
1564809648.9299932,1500,71.0999984741211
1564809663.2723522,1510,64.0
1564809679.7254462,1520,96.5
1564809695.9553535,1530,81.30000305175781
1564809711.4150796,1540,70.80000305175781
1564809728.944411,1550,92.80000305175781
1564809744.5922348,1560,69.5999984741211
1564809758.6448271,1570,58.29999923706055
1564809774.4969466,1580,78.69999694824219
1564809791.8124468,1590,101.19999694824219
1564809804.5519662,1600,42.599998474121094
1564809817.525658,1610,41.599998474121094
1564809834.0410786,1620,103.5
1564809849.4986012,1630,82.19999694824219
1564809866.6551294,1640,132.0
1564809882.2077696,1650,67.9000015258789
1564809899.32487,1660,89.69999694824219
1564809920.0669703,1670,142.1999969482422
1564809936.673443,1680,58.599998474121094
1564809953.9682605,1690,63.29999923706055
1564809974.9202538,1700,120.30000305175781
1564809998.38722,1710,167.0
1564810021.583392,1720,151.10000610351562
1564810042.684431,1730,181.5
1564810066.152629,1740,152.10000610351562
1564810083.629272,1750,72.5999984741211
1564810100.3179357,1760,57.0
1564810132.1192794,1770,282.70001220703125
1564810156.6915915,1780,171.8000030517578
1564810181.914475,1790,176.0
1564810204.0307734,1800,126.69999694824219
1564810222.6424525,1810,103.5999984741211
1564810248.634308,1820,174.8000030517578
1564810270.4252884,1830,118.80000305175781
1564810295.7101266,1840,212.89999389648438
1564810327.066573,1850,303.5
1564810347.2837427,1860,101.5999984741211
1564810372.9813027,1870,196.3000030517578
1564810405.4634762,1880,288.3999938964844
1564810425.5440001,1890,90.30000305175781
1564810468.3680887,1900,437.6000061035156
1564810509.0118377,1910,400.79998779296875
1564810552.5429802,1920,410.6000061035156
1564810586.7094755,1930,293.1000061035156
1564810633.5774958,1940,466.20001220703125
1564810672.7744253,1950,372.79998779296875
1564810704.184117,1960,267.20001220703125
1564810748.9059932,1970,483.3999938964844
1564810804.5464158,1980,639.7999877929688
1564810857.1026244,1990,513.5
